ID,event,dir,audio_volume,visual_type,audio_angle,audio_type,answer,reaction_time,valid
410,5,-1,0,0,15,0,1,444,True
410,6,1,0,0,-30,0,0,811,True
410,7,-1,0,0,-10,0,0,588,True
410,8,1,0,0,-5,0,0,533,True
410,9,-1,0,0,-30,0,0,489,True
410,10,1,0,0,-15,0,0,422,True
410,11,-1,0,0,15,0,1,577,True
410,12,1,0,0,-30,0,0,655,True
410,13,-1,0,0,-30,0,0,611,True
410,14,1,0,0,-15,0,0,1199,True
410,15,-1,0,0,-15,0,0,534,True
410,16,1,0,0,20,0,1,545,True
410,17,-1,0,0,0,0,0,1478,True
410,18,1,0,0,15,0,1,433,True
410,19,-1,0,0,-20,0,0,588,True
410,20,1,0,0,20,0,1,565,True
410,21,-1,0,0,-5,0,0,577,True
410,22,1,0,0,20,0,1,1255,True
410,23,-1,0,0,5,0,1,1166,True
410,24,1,0,0,-15,0,0,588,True
410,25,-1,0,0,10,0,1,589,True
410,26,1,0,0,10,0,1,456,True
410,27,-1,0,0,-5,0,0,488,True
410,28,1,0,0,10,0,1,510,True
410,29,-1,0,0,30,0,1,644,True
410,30,1,0,0,-20,0,0,567,True
410,31,-1,0,0,-10,0,0,534,True
410,32,1,0,0,0,0,1,445,True
410,33,-1,0,0,15,0,1,489,True
410,34,1,0,0,-5,0,1,411,True
410,35,-1,0,0,0,0,0,777,True
410,36,1,0,0,-10,0,0,444,True
410,37,-1,0,0,10,0,1,511,True
410,38,1,0,0,15,0,1,598,True
410,39,-1,0,0,-15,0,0,544,True
410,40,1,0,0,-5,0,1,490,True
410,41,-1,0,0,-30,0,0,555,True
410,42,1,0,0,0,0,1,756,True
410,43,-1,0,0,20,0,1,577,True
410,44,1,0,0,-10,0,0,633,True
410,45,-1,0,0,0,0,0,488,True
410,46,1,0,0,15,0,1,421,True
410,47,-1,0,0,-20,0,0,510,True
410,48,1,0,0,5,0,1,533,True
410,49,-1,0,0,20,0,1,988,True
410,50,1,0,0,30,0,1,622,True
410,51,-1,0,0,5,0,1,1112,True
410,52,1,0,0,-20,0,0,2010,True
410,53,-1,0,0,-20,0,0,421,True
410,54,1,0,0,-30,0,0,833,True
410,55,-1,0,0,10,0,1,1754,True
410,56,1,0,0,-10,0,0,812,True
410,57,-1,0,0,30,0,1,510,True
410,58,1,0,0,5,0,1,533,True
410,59,-1,0,0,30,0,1,466,True
410,60,1,0,0,-20,0,0,478,True
410,61,-1,0,0,-10,0,0,388,True
410,62,1,0,0,5,0,1,533,True
410,63,-1,0,0,-5,0,0,367,True
410,64,1,0,0,10,0,1,610,True
410,65,-1,0,0,-15,0,0,467,True
410,66,1,0,0,30,0,1,566,True
410,67,-1,0,0,5,0,0,433,True
410,68,1,0,0,30,0,1,878,True
410,69,-1,0,0,20,0,1,555,True
411,4,1,0,0,-10,0,1,699,True
411,5,-1,0,0,30,0,1,778,True
411,6,1,0,0,15,0,0,833,True
411,7,-1,0,0,30,0,1,700,True
411,8,1,0,0,30,0,1,599,True
411,9,-1,0,0,-15,0,0,666,True
411,10,1,0,0,5,0,1,800,True
411,11,-1,0,0,-20,0,0,755,True
411,12,1,0,0,-15,0,0,822,True
411,13,-1,0,0,10,0,1,655,True
411,14,1,0,0,30,0,1,533,True
411,15,-1,0,0,-5,0,0,633,True
411,16,1,0,0,-30,0,0,722,True
411,17,-1,0,0,10,0,1,588,True
411,18,1,0,0,-5,0,0,778,True
411,19,-1,0,0,-20,0,0,644,True
411,20,1,0,0,-5,0,0,766,True
411,21,-1,0,0,15,0,1,966,True
411,22,1,0,0,-20,0,0,678,True
411,23,-1,0,0,-20,0,0,699,True
411,24,1,0,0,10,0,1,589,True
411,25,-1,0,0,-30,0,0,633,True
411,26,1,0,0,10,0,1,733,True
411,27,-1,0,0,20,0,1,932,True
411,28,1,0,0,-10,0,0,666,True
411,29,-1,0,0,-5,0,0,645,True
411,30,1,0,0,10,0,1,644,True
411,31,-1,0,0,5,0,1,767,True
411,32,1,0,0,15,0,1,533,True
411,33,-1,0,0,-10,0,0,534,True
411,34,1,0,0,20,0,1,600,True
411,35,-1,0,0,-30,0,0,700,True
411,36,1,0,0,30,0,1,656,True
411,37,-1,0,0,20,0,1,723,True
411,38,1,0,0,0,0,1,622,True
411,39,-1,0,0,-10,0,0,678,True
411,40,1,0,0,5,0,1,589,True
411,41,-1,0,0,20,0,1,722,True
411,42,1,0,0,-20,0,0,778,True
411,43,-1,0,0,-5,0,1,666,True
411,44,1,0,0,-15,0,0,578,True
411,45,-1,0,0,-10,0,0,546,True
411,46,1,0,0,-20,0,0,522,True
411,47,-1,0,0,10,0,1,655,True
411,48,1,0,0,20,0,1,599,True
411,49,-1,0,0,0,0,0,600,True
411,50,1,0,0,-30,0,0,544,True
